fecha;IPC;
1/12/2016;100.00;
1/1/2017;101.31;
1/2/2017;103.81;
1/3/2017;106.26;
1/4/2017;109.06;
1/5/2017;110.46;
1/6/2017;111.99;
1/7/2017;113.92;
1/8/2017;115.60;
1/9/2017;117.97;
1/10/2017;119.50;
1/11/2017;120.89;
1/12/2017;125.04;
1/1/2018;127.01;
1/2/2018;130.29;
1/3/2018;133.50;
1/4/2018;136.94;
1/5/2018;139.58;
1/6/2018;145.06;
1/7/2018;149.12;
1/8/2018;155.17;
1/9/2018;165.49;
1/10/2018;173.85;
1/11/2018;178.88;
1/12/2018;183.94;
1/1/2019;189.12;
1/2/2019;196.36;
1/3/2019;205.77;
1/4/2019;212.45;
1/5/2019;218.88;
1/6/2019;224.61;
1/7/2019;229.43;
1/8/2019;238.31;
1/9/2019;252.15;
1/10/2019;260.21;
1/11/2019;270.80;
1/12/2019;281.18;
1/1/2020;286.49;
1/2/2020;291.74;
1/3/2020;302.23;
1/4/2020;306.45;
1/5/2020;311.09;
1/6/2020;317.47;
1/7/2020;322.68;
1/8/2020;331.70;
1/9/2020;340.90;
1/10/2020;353.04;
1/11/2020;363.54;
1/12/2020;377.05;
1/1/2021;389.45;
1/2/2021;403.49;
1/3/2021;424.45;
